"Policy","Section","Category","Item","State / Materializable","Mitigations / Comments"
"prompt-decorator","Threat Model","Information Disclosure","Raw Go error text is returned directly to the caller in error responses (buildErrorResponse embeds validationError.Error()); additionally, on the malformed-array-entry path, the caller's own submitted value is reflected back into the 500 response body (elementValue := fmt.Sprintf(""%v"", item)).","Yes","promptdecorator.go:422-423, 353-355, 362-363. Return a generic client-facing message; log the real error and the offending value server-side only, do not echo caller-submitted content back into an error body."
"prompt-decorator","Threat Model","Prompt Injection / Instruction Collision","Text-mode decoration does raw string concatenation of admin-configured instruction text with user content, separated only by a single space, with no structural boundary (e.g. XML-style delimiter) — a user's own prompt content sits directly adjacent to the decorator's instruction with no separation, so adversarial user text can attempt to override, negate, or blend into the decorator's instruction once both land in the same string.","Yes","promptdecorator.go:327,329. This is inherent to how a text-splice decorator works, not a simple bug. Prefer message-role-based decoration (already supported, structurally safer) over text splicing wherever possible; if text splicing must be supported, wrap the decorator text in a clear delimiter/marker and document that placement adjacency does not guarantee instruction precedence against adversarial input."
"prompt-decorator","Threat Model","Sensitive Data in Logs","slog.Debug logs the actual stringified content of a malformed message-array entry taken directly from the request body.","Yes","promptdecorator.go:356. Log a length/hash/truncated preview instead of raw payload content, even at debug level."
"prompt-decorator","Threat Model","Denial of Service / Resource Exhaustion","No maxLength cap exists on configured promptDecoratorConfig.text/messages[].content (schema only sets minLength:1) nor on incoming body content size within this policy — nothing here bounds how large the decorated payload can grow.","Partial","policy-definition.yaml:21,44 (minLength only, no maxLength). Mostly admin-configured rather than directly attacker-controlled, but compounds with large upstream payloads. Add maxLength constraints to the schema; confirm an overall body-size limit is enforced by the gateway kernel."
"prompt-decorator","Threat Model","Config / Extraction Gap","The SDK's ExtractValueFromJsonpath supports wildcard (""*"") path segments, but this policy's own navigatePath/setValueAtPath implementations have no wildcard handling — configuring a wildcard-shaped jsonPath here would likely misbehave, the same class of gap identified in pii-masking-regex.","Yes","Cross-referenced against sdk/core@v0.2.4/utils/jsonpath.go:56-77. Reject/validate wildcard-shaped jsonPath values at config time if unsupported, or implement consistent wildcard write-back support across all jsonPath-consuming policies."
"prompt-decorator","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are rate limits in place where necessary?","N/A","prompt-decorator is a content/routing guardrail, not a quota/throttling control by design. A separate advanced-ratelimit policy exists on the platform and can be composed onto the same operation if needed."
"prompt-decorator","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are permissions, roles, and entitlements defined on least privilege / business needs?","Partial","Org-level RBAC is enforced server-side for config-apply endpoints, but there is no per-resource ownership check in api-platform's LlmProvider/RestApi update handlers — any user with write scope in an org can silently modify or remove prompt-decorator's configuration on a resource a teammate created."
"prompt-decorator","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are authN/authZ properly validated at UI and API, front/back end, before granting access?","Partially verified","Confirmed server-side at the management API for LlmProvider/RestApi updates (JWT + org claim enforced, not just client-side). UI-layer (Publisher/DevPortal) enforcement was not checked in this review."
"prompt-decorator","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are proper isolations in place between components (least privilege / blast radius)?","N/A","prompt-decorator has no independent network/deployment topology of its own — it runs inside gateway-runtime's policy-engine and inherits whatever isolation that component has. Not reviewed at the infra level."
"prompt-decorator","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Have default credentials been changed; no default superuser/root in use?","No — confirmed finding","The e2e tooling in this repo authenticates to gateway-controller with Authorization: Basic YWRtaW46YWRtaW4= (admin:admin), a literal default credential in active use in the environment exercised for this review. Not confirmed whether production overrides this."
"prompt-decorator","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is source code kept private where applicable?","Needs clarification","Source files carry Apache License 2.0 headers, suggesting this is intended as open-source code rather than private/proprietary — confirm the intended posture with the release/product owner."
"prompt-decorator","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Was a code review conducted with a security/resiliency focus, and were findings addressed?","Not verifiable from code","This is a PR-history/process record for prompt-decorator's own commits — needs confirmation from the team, not determinable from the source alone."
"prompt-decorator","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is Static (SAST) or IaC scanning conducted, and are findings addressed?","Partial","api-platform/.github/workflows/go-scan.yaml runs gosec daily across gateway-controller, policy-engine, gateway-builder, platform-api, and event-gateway-runtime, uploading SARIF to GitHub code scanning. No equivalent SAST workflow was found in the gateway-controllers (policy hub) repo itself, where this policy's actual source lives — coverage of this specific file is unconfirmed."
"prompt-decorator","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is Software Composition Analysis (SCA) conducted/integrated, and are findings addressed?","Partial","trivy-scan.yaml (OS/library CVEs in built images) and jfrog-scan.yaml (JFrog Xray docker scan) run daily in api-platform across all major images. dependency-validation.yml (present in both repos) checks changed Go deps against an approved allowlist (governance, not CVE-based). No FOSSA; no dedicated Go-module vulnerability scan distinct from image-level scans found. Remediation-tracking status not verified."
"prompt-decorator","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is Dynamic (DAST) or API scanning conducted on non-prod, and are findings addressed?","Not found","No DAST/ZAP/API-scanning workflow was found in either repo's .github/workflows. Either it runs outside these repos or it is a gap."
"prompt-decorator","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are audit logs generated in a standardized format for critical functionality, available to authorized users?","Partial","An audit table + AuditRepo.Record(action, resourceUUID, resourceType, orgUUID, performedBy) fires on LlmProvider/RestApi updates, including changes to prompt-decorator's own configuration — standardized shape, but minimal (no diff, no payload). Availability to authorized users via a UI/API surface was not checked."
"prompt-decorator","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","How long are audit logs retained for?","Not verified","No TTL/cleanup job was found for the audit table in this review; needs confirmation from the data/DB team."
"prompt-decorator","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Do audit logs for critical config changes include a diff of old vs new?","No — confirmed","Update handlers fetch the old record only to preserve unrelated fields, then blindly overwrite the configuration column. No diff or version history is persisted, so a change that silently disables or weakens prompt-decorator leaves no trace of its prior state."
"prompt-decorator","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Has a BIA been conducted (MTTD/RPO/RTO, HA, DR, backups, health checks, banners)?","Not covered — needs infra/SRE input","prompt-decorator has no independent database, deployment topology, or backup surface of its own; this whole section applies to the platform as a whole, not to one mediation policy. A health endpoint (/api/admin/v1/health on gateway-controller) does exist, confirming a health-check mechanism, but HA/DR/backup/banner posture was not reviewed."
"prompt-decorator","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are data in transit and at rest encrypted?","Partial","Client-facing gateway traffic runs over TLS (confirmed via the dev stack's https endpoint). At-rest encryption for general application/config data was not verified in this review; this policy itself has no independent storage layer."
"prompt-decorator","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is sensitive data (credentials/keys) stored in secret stores like key vaults?","N/A for this policy","prompt-decorator does not itself handle LLM-provider credentials. Separately confirmed: platform-api has a real secret vault (vault.SecretVault.Encrypt/Decrypt) used for a dedicated Secret resource, with Decrypt scoped to internal gateway use only."
"prompt-decorator","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are all inputs and outputs validated? (Syntactic / Semantic)","Partial","Syntactic validation is solid: promptDecoratorConfig requires exactly one of text/messages (non-empty, trimmed), role enum enforced, jsonPath type-checked (promptdecorator.go:126-190). No semantic validation exists that the configured jsonPath actually resolves against typical LLM payload shapes, and no maxLength cap on decorator text/messages."
"prompt-decorator","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Has the implementation followed best-practice guidelines (OWASP/K8s/Vendor)?","Partial","Good: fails closed on every parse/validate/navigate/marshal error (no silent skip). Gaps: raw error text and caller-payload reflection in error responses, unbounded decorator text length, no size cap on decoration content."
"prompt-decorator","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Have you ensured personal/sensitive/confidential data is not logged?","Partial / at risk","One confirmed instance: slog.Debug logs the raw stringified value of a malformed message-array entry from the request body (promptdecorator.go:356) — a real, if narrow, sensitive-data-in-logs path."
"prompt-decorator","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Have users been given proper instructions on secure usage?","Partial","Docs and schema constraints for this policy's own parameters match the code (no mismatch found). However, no documentation warns operators that text-mode decoration provides no structural protection against a user's own content overriding or blending with the decorator instruction — a security-relevant limitation of the feature that isn't called out."
"prompt-template","Threat Model","Prompt Injection","The client fully controls which configured template fires and all placeholder values via a template://<name>?<query> reference embedded in their own request content; values are substituted verbatim into the prompt sent upstream with no content sanitization or keyword filtering. Any client reaching this operation can invoke ANY admin-configured template with attacker-chosen placeholder values.","Yes","prompttemplate.go:271-287. Constrain which placeholders are substitutable per template (allowlist/pattern validation), and/or restrict which templates a given operation may resolve rather than trusting any client-supplied template name."
"prompt-template","Threat Model","Denial of Service / Payload Amplification","template:// references are scanned out of the CLIENT'S OWN submitted content (FindAllString with no cap on match count), and each match triggers a full template lookup+substitution. A client can embed many such references in one request, each expanding to a configured template's full text, amplifying a small request into a much larger outbound payload with no per-request limit on occurrences.","Yes","prompttemplate.go:226. Cap the maximum number of template:// references resolved per request, and/or cap the total expanded payload size."
"prompt-template","Threat Model","Fail-Open Bypass (default configuration)","onUnresolvedPlaceholder defaults to ""keep"", which forwards the literal unresolved [[placeholder]] text upstream to the LLM instead of blocking — this is the DEFAULT behavior, not an opt-in. onMissingTemplate: passthrough (an available, non-default option) similarly forwards the literal unresolved template://... string upstream.","Yes","prompttemplate.go:194-207 (default keep), 264-266, 292-293. Consider a more conservative default (error) for security-sensitive deployments; clearly document the security implications of passthrough/keep in the policy docs."
"prompt-template","Threat Model","Information Disclosure","Raw Go error text, including internal path/key names (e.g. ""key not found: X"" from the SDK's JSONPath utility), is embedded directly in the client-facing error response.","Yes","prompttemplate.go:392-399, surfacing sdk/core@v0.2.4/utils/jsonpath.go:99,108 strings verbatim. Return a generic client-facing message; log the real error server-side."
"prompt-template","Threat Model","Documentation / Code Mismatch","The policy's own documentation states the template:// match pattern requires a query string (template://name?query), but the actual regex makes the query optional (template://name resolves fine in code) — a real behavioral discrepancy between docs and implementation.","Yes","docs/prompt-template/v1.0/docs/prompt-template.md:253 vs prompttemplate.go:37. Correct the documentation (or the regex, if the query was meant to be required) and add a test for the no-query-string case."
"prompt-template","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are rate limits in place where necessary?","N/A","prompt-template is a content/routing guardrail, not a quota/throttling control by design. A separate advanced-ratelimit policy exists on the platform and can be composed onto the same operation if needed."
"prompt-template","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are permissions, roles, and entitlements defined on least privilege / business needs?","Partial","Org-level RBAC is enforced server-side for config-apply endpoints, but there is no per-resource ownership check in api-platform's LlmProvider/RestApi update handlers — any user with write scope in an org can silently modify or remove prompt-template's configuration on a resource a teammate created."
