"Policy","Interaction Point","Category","Sub-Category","Threat","Materializable","Mitigations / Comments"
"prompt-decorator","01. Apply policy to LLM Provider/Proxy","Process Risk","Config Validation Gap","jsonPath wildcard (""*"") segments are supported by the SDK's ExtractValueFromJsonpath but not by this policy's own navigatePath/setValueAtPath — an operator configuring a wildcard-shaped jsonPath is accepted with no error at apply time, and the resulting misbehavior (extraction/update mismatch) only surfaces at invoke time.","Yes","promptdecorator.go navigatePath/setValueAtPath vs sdk/core@v0.2.4/utils/jsonpath.go:56-77 (wildcard support). Reject wildcard-shaped jsonPath values at config-parse time if unsupported, or implement consistent wildcard write-back."
"prompt-template","01. Apply policy to LLM Provider/Proxy","Process Risk","Documentation / Config-Time Clarity Gap","The policy's own documentation describes the template://name?query match pattern as requiring a query string, but the code accepts a bare template://name with no query — an operator configuring templates based on the documented pattern may not realize the actual matching behavior is broader. Separately, onMissingTemplate/onUnresolvedPlaceholder fail-open defaults (passthrough/keep) are accepted silently at apply time with no warning about their security implications.","Yes","docs/prompt-template/v1.0/docs/prompt-template.md:253 vs prompttemplate.go:37; defaults at prompttemplate.go:178-207. Fix doc/code alignment; consider a config-time lint/warning surfaced when fail-open settings are selected."
"url-guardrail","01. Apply policy to LLM Provider/Proxy","Process Risk","Config Clarity Gap","The policy is named and positioned as a ""guardrail"" implying it blocks unsafe/malicious URLs, but its only actual mechanism is a reachability check (DNS lookup / HTTP HEAD) with no allow/deny domain list of any kind. An operator applying this expecting URL safety filtering is not warned at apply time that this is not what the policy does.","Yes","No domain allow/deny list exists anywhere in urlguardrail.go; params are reachability-only (onlyDNS, timeout). Clarify the schema description at apply time about what is actually validated; consider offering a genuine allow/deny-list mode as a separate, explicit capability."
"word-count-guardrail","01. Apply policy to LLM Provider/Proxy","Process Risk","Schema / Code Mismatch","min/max are declared as integer type in the schema, but the code's extractInt also accepts stringified or float-typed numbers — a config value shape that wouldn't pass strict schema validation elsewhere is silently accepted by this policy's own parsing.","Yes, minor","wordcountguardrail.go:245-268 (extractInt) vs policy-definition.yaml:21-30 (integer type). Align parseParams strictness with the declared schema type."
"sentence-count-guardrail","01. Apply policy to LLM Provider/Proxy","Process Risk","Config Validation Gap","Validation of min/max and jsonPath is purely syntactic (type/range checks) with no semantic check — a jsonPath that will never resolve against real payload shapes, or min/max thresholds set without awareness of the known comma/period-based counting bypasses, is accepted with no warning at apply time.","Partial","sentencecountguardrail.go parseParams:141-238 (type/range checks only). Consider surfacing the known punctuation-based counting limitations in the policy's own config-time description so operators set thresholds with that caveat in mind."
"model-round-robin","01. Apply policy to LLM Provider/Proxy","Process Risk","Schema / Code Mismatch","provider is declared minLength: 1 in the schema, but the code never enforces non-empty on that field — an explicit empty-string provider value is accepted at apply time despite the schema's stated constraint.","Yes, minor","roundrobin.go:171-177 vs policy-definition.yaml:29. Align code-level validation with the declared schema constraint (reject empty string explicitly)."
"model-round-robin","01. Apply policy to LLM Provider/Proxy","Operational Risk","Operational Assumption Gap","Round-robin state (currentIndex, suspendedModels) is in-memory and per-policy-engine-instance only. An operator applying this policy across a multi-replica gateway deployment gets no warning at apply time that true fleet-wide even distribution across providers is not guaranteed — each replica round-robins independently.","Yes","roundrobin.go:86-91 (in-memory struct fields); documented in docs/model-round-robin/v1.1/docs/model-round-robin.md:272-276 (docs are actually clear on this — the gap is that apply-time tooling itself gives no warning, only the separate docs page does). Consider surfacing this as an inline warning at policy-apply time for multi-replica deployments, not only in the docs."
"prompt-decorator","02. Invoke the Upstream LLM","Information Disclosure","Information Disclosure","Raw Go error text is returned directly to the caller in error responses (buildErrorResponse embeds validationError.Error()); additionally, on the malformed-array-entry path, the caller's own submitted value is reflected back into the 500 response body.","Yes","promptdecorator.go:422-423, 353-355, 362-363. Return a generic client-facing message; log the real error and offending value server-side only."
"prompt-decorator","02. Invoke the Upstream LLM","Tampering","Prompt Injection / Instruction Collision","Text-mode decoration does raw string concatenation of admin-configured instruction text with user content, separated only by a single space, with no structural boundary — a user's own prompt content sits directly adjacent to the decorator's instruction with no separation, so adversarial user text can attempt to override, negate, or blend into the decorator's instruction.","Yes","promptdecorator.go:327,329. Inherent to text-splice decoration. Prefer message-role-based decoration (already supported, structurally safer); if text splicing must be supported, wrap decorator text in a clear delimiter/marker."
"prompt-decorator","02. Invoke the Upstream LLM","Privacy Risk","Sensitive Data in Logs","slog.Debug logs the actual stringified content of a malformed message-array entry taken directly from the request body.","Yes","promptdecorator.go:356. Log a length/hash/truncated preview instead of raw payload content."
"prompt-decorator","02. Invoke the Upstream LLM","Denial of Service","Denial of Service / Resource Exhaustion","No maxLength cap exists on configured promptDecoratorConfig.text/messages[].content, nor on incoming body content size within this policy.","Partial","policy-definition.yaml:21,44 (minLength only). Add maxLength constraints to the schema; confirm an overall body-size limit is enforced by the gateway kernel."
"prompt-template","02. Invoke the Upstream LLM","Tampering","Prompt Injection","The client fully controls which configured template fires and all placeholder values via a template://<name>?<query> reference embedded in their own request content; values are substituted verbatim into the prompt sent upstream with no content sanitization or keyword filtering.","Yes","prompttemplate.go:271-287. Constrain which placeholders are substitutable per template (allowlist/pattern validation), and/or restrict which templates a given operation may resolve."
"prompt-template","02. Invoke the Upstream LLM","Denial of Service","Denial of Service / Payload Amplification","template:// references are scanned out of the CLIENT'S OWN submitted content with no cap on match count, and each match triggers a full template lookup+substitution — a client can embed many references in one request, amplifying a small request into a much larger outbound payload.","Yes","prompttemplate.go:226. Cap the maximum number of template:// references resolved per request, and/or cap total expanded payload size."
"prompt-template","02. Invoke the Upstream LLM","Security Risk","Fail-Open Bypass (default configuration)","onUnresolvedPlaceholder defaults to ""keep"", forwarding literal unresolved [[placeholder]] text upstream to the LLM instead of blocking - this is the default, not an opt-in.","Yes","prompttemplate.go:194-207 (default keep), 292-293. Consider a more conservative default for security-sensitive deployments."
"prompt-template","02. Invoke the Upstream LLM","Information Disclosure","Information Disclosure","Raw Go error text, including internal path/key names from the SDK's JSONPath utility, is embedded directly in the client-facing error response.","Yes","prompttemplate.go:392-399. Return a generic client-facing message; log the real error server-side."
"url-guardrail","02. Invoke the Upstream LLM","Lateral Movement","Server-Side Request Forgery (SSRF)","The guardrail performs live DNS lookups and/or HTTP HEAD requests, from the gateway's own network position, against any http(s):// URL found in CLIENT-SUPPLIED request content. An external caller can embed a URL pointing at an internal-only target (cloud metadata endpoint, internal admin panel, loopback/link-local address) and the gateway will reach out to it.","Yes","urlguardrail.go: checkDNS(305-337), checkURL(340-359). Resolve DNS first and validate the resolved IP against a deny-list (private/link-local/loopback/metadata ranges) rather than trusting the hostname alone (prevents DNS-rebinding bypass); consider disabling live reachability checks against request-side content."
"url-guardrail","02. Invoke the Upstream LLM","Security Risk","Detection Bypass","The URL-extraction regex is case-sensitive with no (?i) flag - HTTPS:// or Http:// is never matched, silently skipping extraction/validation entirely.","Yes","urlguardrail.go:39,55,67. Add the (?i) case-insensitive flag."
"url-guardrail","02. Invoke the Upstream LLM","Security Risk","Coverage Gap","Default request jsonPath scans only the last message; default response jsonPath scans only the first choice.","Yes","urlguardrail.go:41-42. Requires looping over all messages/choices to close."
"url-guardrail","02. Invoke the Upstream LLM","Denial of Service","Denial of Service / Resource Exhaustion","Incomplete-URL-detection regex buffers an unbounded run of non-whitespace after https:// with no cap; URLs are validated sequentially with no cap on count or configurable timeout maximum.","Yes","urlguardrail.go:67, 649/522, 202-204, 655-666. Cap the incomplete-URL tail buffer, cap max URLs checked and max timeout, validate concurrently."
"url-guardrail","02. Invoke the Upstream LLM","Information Disclosure","Information Disclosure","Raw Go error text returned when showAssessment=true (opt-in, default false).","Yes, when enabled","urlguardrail.go:382. Sanitize assessment error text."
"word-count-guardrail","02. Invoke the Upstream LLM","Security Risk","Detection Bypass (Unicode)","Word counting splits only on ASCII whitespace. Zero-width spaces (U+200B) or non-breaking spaces (U+00A0) between real words collapse many words into one counted token, bypassing a max-word-count check.","Yes","wordcountguardrail.go:36,52. Use Unicode-aware word segmentation instead of ASCII-only \s+ splitting."
"word-count-guardrail","02. Invoke the Upstream LLM","Security Risk","False Positive / Bypass (Non-Space-Delimited Scripts)","CJK/Thai text has no ASCII whitespace between words at all - an entire paragraph counts as a single ""word"", blocking legitimate users on a min-check and trivially bypassing a max-check for adversarial CJK-wrapped content.","Yes","wordcountguardrail.go:36. Same mitigation - proper Unicode/script-aware segmentation."
"word-count-guardrail","02. Invoke the Upstream LLM","Security Risk","Coverage Gap","Default jsonPath scans only the last message (request) / first choice (response).","Yes","wordcountguardrail.go:37-38,47."
"word-count-guardrail","02. Invoke the Upstream LLM","Security Risk","Content Skew (Multimodal)","Non-text multimodal parts fall through to json.Marshal of the whole object as one contiguous no-space string - a large base64 image blob counts as exactly one ""word"".","Yes","wordcountguardrail.go:315-319. Exclude non-text multimodal parts from word-count entirely."
"word-count-guardrail","02. Invoke the Upstream LLM","Denial of Service","Denial of Service / Algorithmic Complexity","NeedsMoreResponseData re-parses the ENTIRE accumulated SSE buffer from scratch on every incoming chunk - O(n^2) total work across a long streaming response.","Yes","wordcountguardrail.go:654-674 vs 729-737. Accumulate/count incrementally instead of re-parsing the whole buffer each chunk."
"word-count-guardrail","02. Invoke the Upstream LLM","Information Disclosure","Information Disclosure","Raw Go error text returned via showAssessment=true (opt-in, default false).","Yes, when enabled","wordcountguardrail.go:361-362. Sanitize before returning."
"sentence-count-guardrail","02. Invoke the Upstream LLM","Security Risk","Detection Bypass","Sentence counting is a raw [.!?] character-class split with no abbreviation or decimal-number handling. A max-check can be bypassed via comma/semicolon-joined clauses; a min-check can be trivially inflated via inserting extra periods.","Yes","sentencecountguardrail.go:36,52,728-739. Use proper sentence-boundary tokenization, or at minimum handle common abbreviation patterns."
"sentence-count-guardrail","02. Invoke the Upstream LLM","Operational Risk","Correctness / False Positive","Abbreviations and decimal numbers are miscounted as sentence boundaries, inflating counts and potentially causing false-positive blocking of legitimate content.","Yes","Same root cause as above."
"sentence-count-guardrail","02. Invoke the Upstream LLM","Security Risk","Coverage Gap","Default jsonPath scans only the last message (request) / first choice (response).","Yes","sentencecountguardrail.go:37-38."
"sentence-count-guardrail","02. Invoke the Upstream LLM","Security Risk","Content Skew (Multimodal)","Non-text multimodal parts fall through to json.Marshal of the whole object as raw text and get counted, unpredictably skewing the sentence count.","Yes","sentencecountguardrail.go:307-311. Exclude non-text multimodal parts from counting."
"sentence-count-guardrail","02. Invoke the Upstream LLM","Denial of Service","Denial of Service / Resource Exhaustion","The SSE streaming accumulator grows with every delta appended for the life of the stream with no length bound.","Yes","sentencecountguardrail.go:624-625. Cap accumulated content length."
"sentence-count-guardrail","02. Invoke the Upstream LLM","Information Disclosure","Information Disclosure","Raw Go error text returned via showAssessment=true (opt-in, default false).","Yes, when enabled","sentencecountguardrail.go:353-354. Sanitize before returning."
"model-round-robin","02. Invoke the Upstream LLM","Operational Risk","Availability / Consistency","Round-robin state is in-memory, local to each policy-engine instance - in a multi-replica gateway deployment each replica advances its own cursor and tracks suspensions independently, so ""round robin"" does not guarantee even traffic distribution across providers at the fleet level.","Yes","roundrobin.go:86-91; documented in docs/model-round-robin/v1.1/docs/model-round-robin.md:272-276. Consider an optional shared-state (Redis-backed) mode for deployments where a fleet-wide guarantee is required."
"model-round-robin","02. Invoke the Upstream LLM","Information Disclosure","Information Disclosure","Raw Go error text (JSON parse errors, JSONPath-set errors, marshal errors) is returned directly in the HTTP response body from OnRequestBody.","Yes","roundrobin.go:418,427,436. Return a generic client-facing message; log the real error server-side."
"model-round-robin","02. Invoke the Upstream LLM","Process Risk","Verification Gap (Untested Concurrency Path)","No concurrent/goroutine-based test exercises selectNextAvailableModel or OnResponseHeaders under simultaneous calls, despite this being the concurrency-critical, mutex-protected path.","Partial","roundrobin_test.go has no go func/sync.WaitGroup usage. Add a `go test -race` covering concurrent request handling through this policy."
"model-round-robin","02. Invoke the Upstream LLM","Operational Risk","Availability (Unvalidated Provider Reference)","The configured provider field is never validated against the operation's actually-registered additionalProviders - OnRequestHeaders sets the upstream name to the raw configured string unconditionally.","Partial","roundrobin.go:332-336. Cross-validate provider values against registered additionalProviders at config time if feasible."
